Company Name,Website,Phone,Email,All Emails,Has Contact Form,Has Chatbot,Has Booking,Opportunity Score,Outreach Draft
"Pro Plumbers Manchester","https://sites.google.com/view/proplumbersmanchester/home","0161 726 5515","proplumbersmanchester@gmail.com","proplumbersmanchester@gmail.com","Yes","No","Yes",7,"Subject: Quick question about Pro Plumbers Manchester's website\n\nHi Pro Plumbers Manchester team,\n\nI was searching for plumbers in the area and came across your website.\n\nI noticed you don't have 24/7 AI chat support - adding these could help you capture more leads and convert more visitors into customers.\n\nI specialize in helping plumbers businesses modernize their online presence. Recent client saw 40% more inquiries after adding AI chat + online booking.\n\nWorth a quick 10-minute chat to see if this could work for Pro Plumbers Manchester?\n\nBest,\n[Your Name]\n[Your Phone]\n[Your Website]\n\nP.S. I'm offering free website audits this week - happy to show you specific opportunities on your site."
"Manchester Plumbing Limited | Manchester | Facebook","https://www.facebook.com/manchesterplumbinglimited/","44 7495 973631","No email on site","No email on site","No","No","No",8,"Subject: Quick question about Manchester Plumbing Limited | Manchester | Facebook's website\n\nHi Manchester Plumbing Limited | Manchester | Facebook team,\n\nI was searching for plumbers in the area and came across your website.\n\nI noticed you don't have 24/7 AI chat support and online booking system - adding these could help you capture more leads and convert more visitors into customers.\n\nI specialize in helping plumbers businesses modernize their online presence. Recent client saw 40% more inquiries after adding AI chat + online booking.\n\nWorth a quick 10-minute chat to see if this could work for Manchester Plumbing Limited | Manchester | Facebook?\n\nBest,\n[Your Name]\n[Your Phone]\n[Your Website]\n\nP.S. I'm offering free website audits this week - happy to show you specific opportunities on your site."
"AD Plumbing Heating & Electrical, Manchester | Plumbers - Yell","https://www.yell.com/biz/ad-plumbing-heating-and-electrical-manchester-10327519/","07500 002379","No email on site","No email on site","Yes","No","Yes",8,"Subject: Quick question about AD Plumbing Heating & Electrical, Manchester | Plumbers - Yell's website\n\nHi AD Plumbing Heating & Electrical, Manchester | Plumbers - Yell team,\n\nI was searching for plumbers in the area and came across your website.\n\nI noticed you don't have 24/7 AI chat support and easy contact options - adding these could help you capture more leads and convert more visitors into customers.\n\nI specialize in helping plumbers businesses modernize their online presence. Recent client saw 40% more inquiries after adding AI chat + online booking.\n\nWorth a quick 10-minute chat to see if this could work for AD Plumbing Heating & Electrical, Manchester | Plumbers - Yell?\n\nBest,\n[Your Name]\n[Your Phone]\n[Your Website]\n\nP.S. I'm offering free website audits this week - happy to show you specific opportunities on your site."
"MANCHESTER PLUMBING SUPPLIES | Manchester | Facebook","https://www.facebook.com/p/MANCHESTER-PLUMBING-SUPPLIES-100069827551389/","01612036060","No email on site","No email on site","No","No","No",8,"Subject: Quick question about MANCHESTER PLUMBING SUPPLIES | Manchester | Facebook's website\n\nHi MANCHESTER PLUMBING SUPPLIES | Manchester | Facebook team,\n\nI was searching for plumbers in the area and came across your website.\n\nI noticed you don't have 24/7 AI chat support and online booking system - adding these could help you capture more leads and convert more visitors into customers.\n\nI specialize in helping plumbers businesses modernize their online presence. Recent client saw 40% more inquiries after adding AI chat + online booking.\n\nWorth a quick 10-minute chat to see if this could work for MANCHESTER PLUMBING SUPPLIES | Manchester | Facebook?\n\nBest,\n[Your Name]\n[Your Phone]\n[Your Website]\n\nP.S. I'm offering free website audits this week - happy to show you specific opportunities on your site."
"Manchester Plumbing Supplies Ltd, Manchester | Plumbers' Merchants - Yell","https://www.yell.com/biz/manchester-plumbing-supplies-ltd-manchester-5372842/","0161 203 60 60","No email on site","No email on site","No","No","Yes",9,"Subject: Quick question about Manchester Plumbing Supplies Ltd, Manchester | Plumbers' Merchants - Yell's website\n\nHi Manchester Plumbing Supplies Ltd, Manchester | Plumbers' Merchants - Yell team,\n\nI was searching for plumbers in the area and came across your website.\n\nI noticed you don't have 24/7 AI chat support and easy contact options - adding these could help you capture more leads and convert more visitors into customers.\n\nI specialize in helping plumbers businesses modernize their online presence. Recent client saw 40% more inquiries after adding AI chat + online booking.\n\nWorth a quick 10-minute chat to see if this could work for Manchester Plumbing Supplies Ltd, Manchester | Plumbers' Merchants - Yell?\n\nBest,\n[Your Name]\n[Your Phone]\n[Your Website]\n\nP.S. I'm offering free website audits this week - happy to show you specific opportunities on your site."
"Our Plumber Manchester | Facebook","https://www.facebook.com/OurPlumberManchester/","44 7854 089831","No email on site","No email on site","No","No","No",8,"Subject: Quick question about Our Plumber Manchester | Facebook's website\n\nHi Our Plumber Manchester | Facebook team,\n\nI was searching for plumbers in the area and came across your website.\n\nI noticed you don't have 24/7 AI chat support and online booking system - adding these could help you capture more leads and convert more visitors into customers.\n\nI specialize in helping plumbers businesses modernize their online presence. Recent client saw 40% more inquiries after adding AI chat + online booking.\n\nWorth a quick 10-minute chat to see if this could work for Our Plumber Manchester | Facebook?\n\nBest,\n[Your Name]\n[Your Phone]\n[Your Website]\n\nP.S. I'm offering free website audits this week - happy to show you specific opportunities on your site."
"Emergency Plumbers near Radcliffe, Manchester | Get a Quote - Yell","https://www.yell.com/s/emergency+plumbers-radcliffe-manchester.html","0161 441 5379","No email on site","No email on site","No","No","No",10,"Subject: Quick question about Emergency Plumbers near Radcliffe, Manchester | Get a Quote - Yell's website\n\nHi Emergency Plumbers near Radcliffe, Manchester | Get a Quote - Yell team,\n\nI was searching for plumbers in the area and came across your website.\n\nI noticed you don't have 24/7 AI chat support and online booking system - adding these could help you capture more leads and convert more visitors into customers.\n\nI specialize in helping plumbers businesses modernize their online presence. Recent client saw 40% more inquiries after adding AI chat + online booking.\n\nWorth a quick 10-minute chat to see if this could work for Emergency Plumbers near Radcliffe, Manchester | Get a Quote - Yell?\n\nBest,\n[Your Name]\n[Your Phone]\n[Your Website]\n\nP.S. I'm offering free website audits this week - happy to show you specific opportunities on your site."
"Manchester City Centre Plumbers, Manchester | Plumbers - Yell","https://www.yell.com/biz/manchester-city-centre-plumbers-manchester-10233301/","Not found","No email on site","No email on site","No","No","Yes",9,"Subject: Quick question about Manchester City Centre Plumbers, Manchester | Plumbers - Yell's website\n\nHi Manchester City Centre Plumbers, Manchester | Plumbers - Yell team,\n\nI was searching for plumbers in the area and came across your website.\n\nI noticed you don't have 24/7 AI chat support and easy contact options - adding these could help you capture more leads and convert more visitors into customers.\n\nI specialize in helping plumbers businesses modernize their online presence. Recent client saw 40% more inquiries after adding AI chat + online booking.\n\nWorth a quick 10-minute chat to see if this could work for Manchester City Centre Plumbers, Manchester | Plumbers - Yell?\n\nBest,\n[Your Name]\n[Your Phone]\n[Your Website]\n\nP.S. I'm offering free website audits this week - happy to show you specific opportunities on your site."
"My Manchester Plumbers 24 7 365, Salford | Plumbers - Yell","https://www.yell.com/biz/my-manchester-plumbers-24-7-365-salford-10016897/","Not found","No email on site","No email on site","No","No","Yes",9,"Subject: Quick question about My Manchester Plumbers 24 7 365, Salford | Plumbers - Yell's website\n\nHi My Manchester Plumbers 24 7 365, Salford | Plumbers - Yell team,\n\nI was searching for plumbers in the area and came across your website.\n\nI noticed you don't have 24/7 AI chat support and easy contact options - adding these could help you capture more leads and convert more visitors into customers.\n\nI specialize in helping plumbers businesses modernize their online presence. Recent client saw 40% more inquiries after adding AI chat + online booking.\n\nWorth a quick 10-minute chat to see if this could work for My Manchester Plumbers 24 7 365, Salford | Plumbers - Yell?\n\nBest,\n[Your Name]\n[Your Phone]\n[Your Website]\n\nP.S. I'm offering free website audits this week - happy to show you specific opportunities on your site."
"Plumbers Near Me in Manchester | Yell Marketplace","https://www.yell.com/s/plumbers-manchester.html","Not found","No email on site","No email on site","No","No","Yes",9,"Subject: Quick question about Plumbers Near Me in Manchester | Yell Marketplace's website\n\nHi Plumbers Near Me in Manchester | Yell Marketplace team,\n\nI was searching for plumbers in the area and came across your website.\n\nI noticed you don't have 24/7 AI chat support and easy contact options - adding these could help you capture more leads and convert more visitors into customers.\n\nI specialize in helping plumbers businesses modernize their online presence. Recent client saw 40% more inquiries after adding AI chat + online booking.\n\nWorth a quick 10-minute chat to see if this could work for Plumbers Near Me in Manchester | Yell Marketplace?\n\nBest,\n[Your Name]\n[Your Phone]\n[Your Website]\n\nP.S. I'm offering free website audits this week - happy to show you specific opportunities on your site."
