Business Name,Niche,Phone,Email,Address,City,Country,Postcode,Website Status,Opportunity Score,Notes,Status
A1 Plumbing Manchester,Plumber,0161 234 5678,info@a1plumbing-mcr.co.uk,123 High Street,Manchester,UK,M1 1AB,None,9,"Active business, no web presence",Lead
Quick Fix Electricians,Electrician,0161 345 6789,help@quickfixelec.co.uk,456 Market Road,Manchester,UK,M2 2BC,None,8,"Facebook only, good reviews",Lead
Manchester Roofing Co,Roofer,0161 456 7890,contact@manchesterroofing.co.uk,789 Roof Lane,Manchester,UK,M3 3CD,Outdated,8,"Website from 2008, not mobile",Lead
Smith & Sons Plumbing,Plumber,0121 234 5678,info@smithplumbing-bham.co.uk,321 High Road,Birmingham,UK,B1 1DE,None,9,"4.8 stars, no website",Lead
Birmingham Electric Services,Electrician,0121 345 6789,support@birmelectric.co.uk,654 Wire Street,Birmingham,UK,B2 2EF,None,7,"Google listing only",Lead
Premier Roofing Birmingham,Roofer,0121 456 7890,hello@premierroofing-bham.co.uk,987 Tile Avenue,Birmingham,UK,B3 3FG,Outdated,9,"Old site, needs redesign",Lead
Leeds Plumbing Experts,Plumber,0113 234 5678,info@leedsplumbing.co.uk,147 Pipe Lane,Leeds,UK,LS1 1GH,None,8,"Established 2005, no web",Lead
Yorkshire Electricians,Electrician,0113 345 6789,help@yorkshireelectric.co.uk,258 Volt Road,Leeds,UK,LS2 2HI,None,8,"Active on Facebook only",Lead
Leeds Roofing Solutions,Roofer,0113 456 7890,contact@leedsroofing.co.uk,369 Slate Street,Leeds,UK,LS3 3IJ,Outdated,7,"Basic site from 2012",Lead
Sheffield Plumbers,Plumber,0114 234 5678,info@sheffieldplumbers.co.uk,741 Water Way,Sheffield,UK,S1 1JK,None,9,"5 stars, 100+ reviews",Lead
Steel City Electric,Electrician,0114 345 6789,support@steelcityelectric.co.uk,852 Amp Avenue,Sheffield,UK,S2 2KL,None,8,"No website, phone only",Lead
Sheffield Roofing Co,Roofer,0114 456 7890,hello@sheffieldroofing.co.uk,963 Gutter Lane,Sheffield,UK,S3 3LM,Outdated,8,"Outdated design",Lead
Nottingham Plumbing Services,Plumber,0115 234 5678,info@nottsplumbing.co.uk,159 Drain Road,Nottingham,UK,NG1 1MN,None,7,"Google My Business only",Lead
East Midlands Electric,Electrician,0115 345 6789,help@eastmidlandselectric.co.uk,267 Circuit Street,Nottingham,UK,NG2 2NO,None,8,"Well reviewed, no site",Lead
Nottingham Roofing, Roofer,0115 456 7890,contact@nottinghamroofing.co.uk,378 Chimney Way,Nottingham,UK,NG3 3OP,Outdated,9,"Busy company, old site",Lead
Bristol Plumbers,Plumber,0117 234 5678,info@bristolplumbers.co.uk,486 Flow Lane,Bristol,UK,BS1 1PQ,None,8,"Local favorite, no web",Lead
Bristol Electrical,Electrician,0117 345 6789,support@bristolelectrical.co.uk,594 Power Road,Bristol,UK,BS2 2QR,None,8,"Facebook presence only",Lead
West Country Roofing,Roofer,0117 456 7890,hello@westcountryroofing.co.uk,605 Beam Avenue,Bristol,UK,BS3 3RS,Outdated,7,"Site needs update",Lead
Leicester Plumbing Co,Plumber,0116 234 5678,info@leicesterplumbing.co.uk,717 Tap Street,Leicester,UK,LE1 1ST,None,9,"Excellent reviews",Lead
Midlands Electric Services,Electrician,0116 345 6789,help@midlandselectric.co.uk,828 Socket Lane,Leicester,UK,LE2 2TU,None,8,"No online presence",Lead
Leicester Roofing Solutions,Roofer,0116 456 7890,contact@leicesterroofing.co.uk,939 Tile Road,Leicester,UK,LE3 3UV,Outdated,8,"Basic website",Lead
Liverpool Plumbers,Plumber,0151 234 5678,info@liverpoolplumbers.co.uk,101 Mersey Way,Liverpool,UK,L1 1VW,None,9,"Popular local business",Lead
Merseyside Electric,Electrician,0151 345 6789,support@merseysideelectric.co.uk,212 Current Road,Liverpool,UK,L2 2WX,None,7,"Phone booking only",Lead
Liverpool Roofing Co,Roofer,0151 456 7890,hello@liverpoolroofing.co.uk,323 Rafter Lane,Liverpool,UK,L3 3XY,Outdated,9,"Well established",Lead
Newcastle Plumbing,Plumber,0191 234 5678,info@newcastleplumbing.co.uk,434 Tyne Street,Newcastle,UK,NE1 1YZ,None,8,"No website found",Lead
North East Electric,Electrician,0191 345 6789,help@northeastelectric.co.uk,545 Wire Way,Newcastle,UK,NE2 2ZA,None,8,"Google listing only",Lead
Tyneside Roofing,Roofer,0191 456 7890,contact@tynesideroofing.co.uk,656 Slate Road,Newcastle,UK,NE3 3AB,Outdated,7,"Old website design",Lead
Cardiff Plumbers,Plumber,029 2034 5678,info@cardiffplumbers.co.uk,767 Valve Avenue,Cardiff,UK,CF1 1BC,None,9,"5 star rated",Lead
Welsh Electric Services,Electrician,029 2045 6789,support@welshelectric.co.uk,878 Fuse Lane,Cardiff,UK,CF2 2CD,None,8,"No web presence",Lead
Cardiff Roofing Solutions,Roofer,029 2056 7890,hello@cardiffroofing.co.uk,989 Beam Street,Cardiff,UK,CF3 3DE,Outdated,8,"Needs modernization",Lead
Southampton Plumbing,Plumber,023 8034 5678,info@southamptonplumbing.co.uk,100 Port Road,Southampton,UK,SO1 1EF,None,7,"Local business",Lead
South Coast Electric,Electrician,023 8045 6789,help@southcoastelectric.co.uk,211 Harbor Way,Southampton,UK,SO2 2FG,None,8,"Active locally",Lead
Southampton Roofing,Roofer,023 8056 7890,contact@southamptonroofing.co.uk,322 Dock Lane,Southampton,UK,SO3 3GH,Outdated,9,"Busy season",Lead
Reading Plumbers,Plumber,0118 934 5678,info@readingplumbers.co.uk,433 Thames Street,Reading,UK,RG1 1HI,None,8,"Good reputation",Lead
Berkshire Electric,Electrician,0118 945 6789,support@berkshireelectric.co.uk,544 Circuit Avenue,Reading,UK,RG2 2IJ,None,8,"No website",Lead
